Freq.	V(vout)
1.00000000000000e+000	(-4.87961682483250e-004dB,-2.97311015832471e-002°)
1.00230523807790e+000	(-4.87961669616470e-004dB,-2.97996388514818e-002°)
1.00461579027840e+000	(-4.87961656677362e-004dB,-2.98683341144411e-002°)
1.00693166885180e+000	(-4.87961643690999e-004dB,-2.99371877363411e-002°)
1.00925288607668e+000	(-4.87961630635200e-004dB,-3.00062000822383e-002°)
1.01157945425990e+000	(-4.87961617536004e-004dB,-3.00753715180285e-002°)
1.01391138573668e+000	(-4.87961604354836e-004dB,-3.01447024104538e-002°)
1.01624869287070e+000	(-4.87961591124484e-004dB,-3.02141931270952e-002°)
1.01859138805412e+000	(-4.87961577830483e-004dB,-3.02838440363892e-002°)
1.02093948370768e+000	(-4.87961564474762e-004dB,-3.03536555076162e-002°)
1.02329299228075e+000	(-4.87961551057320e-004dB,-3.04236279109091e-002°)
1.02565192625141e+000	(-4.87961537577193e-004dB,-3.04937616172606e-002°)
1.02801629812647e+000	(-4.87961524036311e-004dB,-3.05640569985050e-002°)
1.03038612044162e+000	(-4.87961510432743e-004dB,-3.06345144273466e-002°)
1.03276140576140e+000	(-4.87961496772277e-004dB,-3.07051342773414e-002°)
1.03514216667934e+000	(-4.87961483044305e-004dB,-3.07759169229062e-002°)
1.03752841581801e+000	(-4.87961469239181e-004dB,-3.08468627393303e-002°)
1.03992016582906e+000	(-4.87961455386803e-004dB,-3.09179721027550e-002°)
1.04231742939330e+000	(-4.87961441466919e-004dB,-3.09892453901991e-002°)
1.04472021922080e+000	(-4.87961427487243e-004dB,-3.10606829795470e-002°)
1.04712854805090e+000	(-4.87961413432345e-004dB,-3.11322852495507e-002°)
1.04954242865232e+000	(-4.87961399323441e-004dB,-3.12040525798397e-002°)
1.05196187382322e+000	(-4.87961385149924e-004dB,-3.12759853509151e-002°)
1.05438689639126e+000	(-4.87961370899257e-004dB,-3.13480839441633e-002°)
1.05681750921366e+000	(-4.87961356586869e-004dB,-3.14203487418357e-002°)
1.05925372517729e+000	(-4.87961342206009e-004dB,-3.14927801270847e-002°)
1.06169555719872e+000	(-4.87961327769216e-004dB,-3.15653784839214e-002°)
1.06414301822431e+000	(-4.87961313264916e-004dB,-3.16381441972652e-002°)
1.06659612123026e+000	(-4.87961298684430e-004dB,-3.17110776529028e-002°)
1.06905487922266e+000	(-4.87961284036438e-004dB,-3.17841792375305e-002°)
1.07151930523761e+000	(-4.87961269332511e-004dB,-3.18574493387173e-002°)
1.07398941234124e+000	(-4.87961254564935e-004dB,-3.19308883449426e-002°)
1.07646521362983e+000	(-4.87961239700920e-004dB,-3.20044966455686e-002°)
1.07894672222983e+000	(-4.87961224788687e-004dB,-3.20782746308511e-002°)
1.08143395129794e+000	(-4.87961209801232e-004dB,-3.21522226919660e-002°)
1.08392691402120e+000	(-4.87961194750128e-004dB,-3.22263412209761e-002°)
1.08642562361706e+000	(-4.87961179629588e-004dB,-3.23006306108416e-002°)
1.08893009333343e+000	(-4.87961164432862e-004dB,-3.23750912554493e-002°)
1.09144033644876e+000	(-4.87961149170558e-004dB,-3.24497235495797e-002°)
1.09395636627209e+000	(-4.87961133843641e-004dB,-3.25245278889173e-002°)
1.09647819614318e+000	(-4.87961118433786e-004dB,-3.25995046700756e-002°)
1.09900583943252e+000	(-4.87961102961247e-004dB,-3.26746542905714e-002°)
1.10153930954141e+000	(-4.87961087412522e-004dB,-3.27499771488432e-002°)
1.10407861990207e+000	(-4.87961071787611e-004dB,-3.28254736442385e-002°)
1.10662378397766e+000	(-4.87961056102908e-004dB,-3.29011441770385e-002°)
1.10917481526240e+000	(-4.87961040342983e-004dB,-3.29769891484430e-002°)
1.11173172728159e+000	(-4.87961024503014e-004dB,-3.30530089605655e-002°)
1.11429453359173e+000	(-4.87961008600361e-004dB,-3.31292040164653e-002°)
1.11686324778056e+000	(-4.87960992605127e-004dB,-3.32055747201155e-002°)
1.11943788346715e+000	(-4.87960976548173e-004dB,-3.32821214764246e-002°)
1.12201845430196e+000	(-4.87960960422747e-004dB,-3.33588446912403e-002°)
1.12460497396692e+000	(-4.87960944221136e-004dB,-3.34357447713389e-002°)
1.12719745617551e+000	(-4.87960927941409e-004dB,-3.35128221244386e-002°)
1.12979591467280e+000	(-4.87960911585497e-004dB,-3.35900771591961e-002°)
1.13240036323556e+000	(-4.87960895156291e-004dB,-3.36675102852038e-002°)
1.13501081567231e+000	(-4.87960878652828e-004dB,-3.37451219130153e-002°)
1.13762728582343e+000	(-4.87960862072214e-004dB,-3.38229124541162e-002°)
1.14024978756117e+000	(-4.87960845410593e-004dB,-3.39008823209381e-002°)
1.14287833478977e+000	(-4.87960828668927e-004dB,-3.39790319268757e-002°)
1.14551294144553e+000	(-4.87960811849147e-004dB,-3.40573616862659e-002°)
1.14815362149688e+000	(-4.87960794973433e-004dB,-3.41358720144100e-002°)
1.15080038894443e+000	(-4.87960777997423e-004dB,-3.42145633275578e-002°)
1.15345325782109e+000	(-4.87960760949084e-004dB,-3.42934360429262e-002°)
1.15611224219210e+000	(-4.87960743835167e-004dB,-3.43724905786903e-002°)
1.15877735615512e+000	(-4.87960726626741e-004dB,-3.44517273539887e-002°)
1.16144861384034e+000	(-4.87960709338272e-004dB,-3.45311467889268e-002°)
1.16412602941049e+000	(-4.87960691986153e-004dB,-3.46107493045767e-002°)
1.16680961706096e+000	(-4.87960674538560e-004dB,-3.46905353229886e-002°)
1.16949939101987e+000	(-4.87960657006102e-004dB,-3.47705052671746e-002°)
1.17219536554813e+000	(-4.87960639402279e-004dB,-3.48506595611308e-002°)
1.17489755493953e+000	(-4.87960621725164e-004dB,-3.49309986298261e-002°)
1.17760597352080e+000	(-4.87960603943895e-004dB,-3.50115228992093e-002°)
1.18032063565173e+000	(-4.87960586100906e-004dB,-3.50922327962128e-002°)
1.18304155572516e+000	(-4.87960568165336e-004dB,-3.51731287487527e-002°)
1.18576874816716e+000	(-4.87960550155509e-004dB,-3.52542111857313e-002°)
1.18850222743702e+000	(-4.87960532048279e-004dB,-3.53354805370407e-002°)
1.19124200802737e+000	(-4.87960513867756e-004dB,-3.54169372335632e-002°)
1.19398810446427e+000	(-4.87960495610083e-004dB,-3.54985817071693e-002°)
1.19674053130724e+000	(-4.87960477253079e-004dB,-3.55804143907383e-002°)
1.19949930314938e+000	(-4.87960458824710e-004dB,-3.56624357181293e-002°)
1.20226443461741e+000	(-4.87960440293152e-004dB,-3.57446461242214e-002°)
1.20503594037179e+000	(-4.87960421700838e-004dB,-3.58270460448797e-002°)
1.20781383510678e+000	(-4.87960403010158e-004dB,-3.59096359169796e-002°)
1.21059813355048e+000	(-4.87960384225932e-004dB,-3.59924161784079e-002°)
1.21338885046497e+000	(-4.87960365352984e-004dB,-3.60753872680590e-002°)
1.21618600064636e+000	(-4.87960346403849e-004dB,-3.61585496258334e-002°)
1.21898959892486e+000	(-4.87960327360204e-004dB,-3.62419036926519e-002°)
1.22179966016487e+000	(-4.87960308250018e-004dB,-3.63254499104448e-002°)
1.22461619926504e+000	(-4.87960289024105e-004dB,-3.64091887221743e-002°)
1.22743923115840e+000	(-4.87960269717185e-004dB,-3.64931205718074e-002°)
1.23026877081238e+000	(-4.87960250332149e-004dB,-3.65772459043489e-002°)
1.23310483322890e+000	(-4.87960230851640e-004dB,-3.66615651658198e-002°)
1.23594743344451e+000	(-4.87960211271800e-004dB,-3.67460788032699e-002°)
1.23879658653036e+000	(-4.87960191614809e-004dB,-3.68307872647906e-002°)
1.24165230759241e+000	(-4.87960171858486e-004dB,-3.69156909994841e-002°)
1.24451461177138e+000	(-4.87960152015370e-004dB,-3.70007904575177e-002°)
